Series Name,"Series Code","Country Name","Country Code","2015 [YR2015]"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Afghanistan","AFG","-166983554.911685"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Albania","ALB","-910256725.971613"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Algeria","DZA","638915215.34559"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","American Samoa","ASM",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Andorra","AND",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Angola","AGO","-10813085379.2657"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Antigua and Barbuda","ATG","-99949131.3440363"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Argentina","ARG","-10883760783.9318"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Armenia","ARM","-155376061.98069"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Aruba","ABW","37200481.5606372"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Australia","AUS","-38634724989.9104"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Austria","AUT","6171640564.49511"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Azerbaijan","AZE","-838252000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Bahamas, The","BHS","-76075924.75"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Bahrain","BHR","3126063829.78723"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Bangladesh","BGD","-2771250741.40178"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Barbados","BRB","-366328937.704148"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Belarus","BLR","-1545700000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Belgium","BEL","26844377439.2661"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Belize","BLZ","-58649340.1251989"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Benin","BEN","-117056378.004949"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Bermuda","BMU","58627864.425454"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Bhutan","BTN","-6450953.84974429"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Bolivia","BOL","-556430243.093449"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Bosnia and Herzegovina","BIH","-288355804.376773"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Botswana","BWA","-195308867.002062"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Brazil","BRA","-61604176364.71"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","British Virgin Islands","VGB",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Brunei Darussalam","BRN","-171289167.823995"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Bulgaria","BGR","-2098190000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Burkina Faso","BFA","-217796773.033046"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Burundi","BDI","-7254430.56976757"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Cabo Verde","CPV","-111989153.507983"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Cambodia","KHM","-1735043113.24523"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Cameroon","CMR","-638519165.449774"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Canada","CAN","23927632715.3373"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Cayman Islands","CYM",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Central African Republic","CAF",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Chad","TCD",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Channel Islands","CHI",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Chile","CHL","-1915152095.71277"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","China","CHN","-68098649764.7788"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Colombia","COL","-7402796209.71045"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Comoros","COM","-4936699.51044481"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Congo, Dem. Rep.","COD","-1165720010.30767"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Congo, Rep.","COG","-3730406565.91486"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Costa Rica","CRI","-2541308963.6613"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Cote d'Ivoire","CIV","-480000380.520798"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Croatia","HRV","-573685653.023771"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Cuba","CUB",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Curacao","CUW","-127804469.273743"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Cyprus","CYP","11529771271.5615"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Czechia","CZE","2026234172.19674"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Denmark","DNK","5642339768.00211"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Djibouti","DJI","-143832186.404533"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Dominica","DMA","-18664593.2496296"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Dominican Republic","DOM","-2204900000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Ecuador","ECU","-1322701337.30748"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Egypt, Arab Rep.","EGY","-6743500000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","El Salvador","SLV","-396350024.042298"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Equatorial Guinea","GNQ",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Eritrea","ERI",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Estonia","EST","140346638.373735"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Ethiopia","ETH","-2626517918.313"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Faroe Islands","FRO",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Fiji","FJI","-239314277.211572"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Finland","FIN","-18023726570.0924"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","France","FRA","36130892033.2982"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","French Polynesia","PYF","-3267219.21939577"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Gabon","GAB","-25253212.3377691"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Gambia, The","GMB","-74230000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Georgia","GEO","-1419607447.2"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Germany","DEU","56842205697.6296"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Ghana","GHA","-2970893676.55992"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Gibraltar","GIB",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Greece","GRC","313664376.493594"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Greenland","GRL",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Grenada","GRD","-135207147.804815"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Guam","GUM",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Guatemala","GTM","-1048092040"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Guinea","GIN","-48257258.4212994"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Guinea-Bissau","GNB","-16230041.4122476"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Guyana","GUY","-137700000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Haiti","HTI","-105680000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Honduras","HND","-951580322.068714"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Hong Kong SAR, China","HKG","-102532361408.386"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Hungary","HUN","-2672663288.52727"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Iceland","ISL","-695187948.262079"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","India","IND","-36495216490.7242"
